ts_code,name,classify,list_date,delist_date
ACOSF,,EQT,20140113,
ACPGF,,EQT,20191231,
ACPIF,,EQT,20140115,
ACPQF,,EQT,20170227,
ACPS,,EQT,20020308,
ACRB,,EQT,20101220,
ACRE,战神房产,EQT,20120426,
ACRFF,,EQT,20140113,
ACRGF,,EQT,20181116,
ACRL,,EQT,20160518,
ACRS,,EQT,20151007,
ACRX,,EQT,20110211,
ACSAF,,EQT,20140113,
ACSAY,,ADR,20140520,
ACSEF,,EQT,19970925,
ACSSF,,EQT,20170203,
ACST,,EQT,20110506,
ACSYF,,EQT,20140113,
ACTG,,EQT,20021216,
ACTL,,EQT,20160602,
ACTPF,,EQT,20140113,
ACU,,EQT,19721214,
ACUIF,,EQT,20161027,
ACUR,讴歌制药,EQT,19860314,
ACUS,,EQT,20030714,
ACWRF,,EQT,19600101,
ACXIF,,EQT,20140113,
ACY,,EQT,19980116,
ADAC,,EQT,20100831,
ADADD,,EQT,20150611,
ADAP,,ADR,20150506,
ADAPL,,EQT,20120223,
ADBCF,,EQT,20071010,
ADBE,Adobe,EQT,19860813,
ADBKF,,EQT,20190923,
ADBN,,EQT,19950503,
ADBRF,,EQT,20190904,
ADC,同意房产,EQT,19940415,
ADCOF,,EQT,20200127,
ADCT,,EQT,20200515,
ADCUF,,ADR,20200420,
ADCV,,EQT,20040525,
ADDC,,EQT,20131003,
ADDDF,,EQT,19951013,
ADDLF,,EQT,20190321,
ADDXF,,EQT,20081222,
ADDYY,,ADR,20041231,
ADEC,,EQT,20101005,
ADERY,,ADR,20130114,
ADES,,EQT,20031022,
ADEVF,,EQT,20200113,
ADEXF,,EQT,20140113,
ADFJF,,EQT,19600101,
ADFS,,EQT,20111201,
ADFT,,EQT,20100322,
ADGL,,EQT,20120312,
ADGO,,EQT,19950221,
ADGRF,,EQT,20171115,
ADGS,,EQT,20090119,
ADHC,,EQT,20030916,
ADHG,,EQT,20170512,
ADHLF,,EQT,19890117,
ADHMY,,ADR,20180129,
ADI,亚德诺,EQT,19730102,
ADIA,,EQT,20020927,
ADIL,,EQT,20180727,
ADIMF,,EQT,20140113,
ADKIL,,EQT,20150218,
ADKT,,EQT,19750131,
ADLDY,,ADR,20180712,
ADLI,,EQT,19910618,
ADM,,EQT,19620702,
ADMA,,EQT,20131017,
ADMG,,EQT,20120724,
ADMLF,,EQT,20190716,
ADMP,,EQT,20120724,
ADMQ,,EQT,20200205,
ADMS,,EQT,20140410,
ADMT,,EQT,19790215,
ADNT,,EQT,20161017,
ADNY,,EQT,19980528,
ADOCY,,ADR,20140818,
ADOM,,EQT,20170616,
ADOOY,,ADR,20100507,
ADP,,EQT,19670626,
ADPAJ,,EQT,20070222,
ADPAS,,EQT,20070222,
ADPPF,,EQT,20171102,
ADPT,Adaptive,EQT,20190627,
ADPXF,,EQT,20111128,
ADPXY,,ADR,20110707,
ADRNY,,ADR,19900719,
ADRO,,EQT,20150415,
ADRZF,,EQT,20140113,
ADRZY,,ADR,20100908,
ADS,,EQT,20010608,
ADSK,欧特克,EQT,19850628,
ADST,,EQT,20000118,
ADSV,,EQT,19950810,
ADSW,,EQT,20161006,
ADT,,EQT,20180119,
ADTC,,EQT,19930910,
ADTFF,,EQT,19600101,
ADTM,,EQT,20100708,
ADTN,,EQT,19940809,
ADTR,,EQT,20030715,
ADTTF,,EQT,20140113,
ADTY,,EQT,20010109,
ADUS,,EQT,20091028,
ADVC,,EQT,20000919,
ADVM,,EQT,20140731,
ADVOF,,EQT,20140113,
ADVT,,EQT,19890130,
ADVV,,EQT,20171108,
ADVZF,,EQT,20180828,
ADWPF,,EQT,20140113,
ADXDF,,EQT,20140113,
ADXN,,ADR,20200129,
ADXRF,,EQT,19870325,
