code,code_name,ipoDate
sh.600229,城市传媒,2000-03-09
sh.600230,沧州大化,2000-04-06
sh.600231,凌钢股份,2000-05-11
sh.600232,金鹰股份,2000-06-02
sh.600233,圆通速递,2000-06-08
sh.600234,科新发展,2000-06-15
sh.600235,民丰特纸,2000-06-15
sh.600236,桂冠电力,2000-03-23
sh.600237,铜峰电子,2000-06-09
sh.600238,海南椰岛,2000-01-20
sh.600243,青海华鼎,2000-11-20
sh.600246,万通发展,2000-09-22
sh.600248,陕西建工,2000-06-22
sh.600249,两面针,2004-01-30
sh.600250,南纺股份,2001-03-06
sh.600251,冠农股份,2003-06-09
sh.600252,中恒集团,2000-11-30
sh.600255,鑫科材料,2000-11-22
sh.600256,广汇能源,2000-05-26
sh.600257,大湖股份,2000-06-12
sh.600258,首旅酒店,2000-06-01
sh.600259,广晟有色,2000-05-25
sh.600261,阳光照明,2000-07-20
sh.600262,北方股份,2000-06-30
sh.600266,城建发展,1999-02-03
sh.600267,海正药业,2000-07-25
sh.600268,国电南自,1999-11-18
sh.600269,赣粤高速,2000-05-18
sh.600271,航天信息,2003-07-11
sh.600272,开开实业,2001-02-28
sh.600273,嘉化能源,2003-06-27
sh.600276,恒瑞医药,2000-10-18
sh.600277,亿利洁能,2000-07-25
sh.600278,东方创业,2000-07-12
sh.600279,重庆港,2000-07-31
sh.600280,中央商场,2000-09-26
sh.600281,华阳新材,2000-11-09
sh.600282,南钢股份,2000-09-19
sh.600283,钱江水利,2000-10-18
sh.600284,浦东建设,2004-03-16
sh.600285,羚锐制药,2000-10-18
sh.600287,江苏舜天,2000-09-01
sh.600288,大恒科技,2000-11-29
sh.600292,远达环保,2000-11-01
sh.600293,三峡新材,2000-09-19
sh.600295,鄂尔多斯,2001-04-26
sh.600297,广汇汽车,2000-11-16
sh.600298,安琪酵母,2000-08-18
sh.600299,安迪苏,2000-04-20
sh.600302,标准股份,2000-12-13
sh.600303,曙光股份,2000-12-26
sh.600305,恒顺醋业,2001-02-06
sh.600307,酒钢宏兴,2000-12-20
sh.600308,华泰股份,2000-09-28
sh.600309,万华化学,2001-01-05
sh.600310,桂东电力,2001-02-28
sh.600312,平高电气,2001-02-21
sh.600313,农发种业,2001-01-19
sh.600315,上海家化,2001-03-15
sh.600316,洪都航空,2000-12-15
sh.600318,新力金融,2000-12-08
sh.600320,振华重工,2000-12-21
sh.600321,正源股份,2001-05-24
sh.600322,天房发展,2001-09-10
sh.600323,瀚蓝环境,2000-12-25
sh.600325,华发股份,2004-02-25
sh.600326,西藏天路,2001-01-16
sh.600327,大东方,2002-06-25
sh.600328,中盐化工,2000-12-22
sh.600329,中新药业,2001-06-06
sh.600330,天通股份,2001-01-18
sh.600331,宏达股份,2001-12-20
sh.600332,白云山,2001-02-06
sh.600333,长春燃气,2000-12-11
sh.600335,国机汽车,2001-03-05
sh.600336,澳柯玛,2000-12-29
sh.600337,美克家居,2000-11-27
sh.600338,西藏珠峰,2000-12-27
sh.600339,中油工程,2000-12-25
sh.600340,华夏幸福,2003-12-30
sh.600343,航天动力,2003-04-08
sh.600345,长江通信,2000-12-22
sh.600346,恒力石化,2001-08-20
sh.600348,华阳股份,2003-08-21
sh.600350,山东高速,2002-03-18
sh.600351,亚宝药业,2002-09-26
sh.600352,浙江龙盛,2003-08-01
sh.600353,旭光电子,2002-11-20
sh.600354,敦煌种业,2004-01-15
sh.600355,精伦电子,2002-06-13
sh.600356,恒丰纸业,2001-04-19
sh.600358,国旅联合,2000-09-22
sh.600359,新农开发,1999-04-29
sh.600360,华微电子,2001-03-16
sh.600361,华联综超,2001-11-29
sh.600362,江西铜业,2002-01-11
sh.600363,联创光电,2001-03-29
sh.600366,宁波韵升,2000-10-30
